Feature,Coefficients,abs_coefficients
pico-hydro,0.009541511679036692,0.009541511679036692
factories,0.009511313948673819,0.009511313948673819
energy subsidies,-0.00946534410341644,0.00946534410341644
micro-hydro,-0.00944608258500354,0.00944608258500354
power plant,0.009406601238152245,0.009406601238152245
sustainable,-0.009367612971463608,0.009367612971463608
intermittent renewable energy,0.009323224859078206,0.009323224859078206
film,-0.00931030051283707,0.00931030051283707
district heat,-0.009263776992695793,0.009263776992695793
on shore wind,0.009206314028897841,0.009206314028897841
natural gas consumption,0.009136390323427147,0.009136390323427147
wind turbine,0.009032718556829198,0.009032718556829198
current drive,0.008983955052557197,0.008983955052557197
carpool,0.00884844630682627,0.00884844630682627
transport,-0.008570760424878943,0.008570760424878943
wind power plants,0.008562101891642691,0.008562101891642691
hdr,-0.008473126571868455,0.008473126571868455
water,-0.008403117854883832,0.008403117854883832
supply,0.00838235489081316,0.00838235489081316
marine energy,-0.008371062082470713,0.008371062082470713
fossil fuel power plant,0.008358929707980045,0.008358929707980045
houses,-0.008148014645823046,0.008148014645823046
ocean thermal energy,-0.008093127983335058,0.008093127983335058
hydro energy,-0.008092309203958582,0.008092309203958582
iot,-0.008089761594668763,0.008089761594668763
offshore wind,-0.007968882853218104,0.007968882853218104
prosumer,0.007942221057540366,0.007942221057540366
common but differentiated responsibilities,0.007916112897354572,0.007916112897354572
boat,-0.007898024209329462,0.007898024209329462
wind system,0.00789453926237571,0.00789453926237571
wave power,-0.007797116876663023,0.007797116876663023
solar and wind energy,0.007729118419127056,0.007729118419127056
ventilation,0.007627982218821081,0.007627982218821081
iter,-0.0076208055393679015,0.0076208055393679015
knowledge transfer,0.007591135432763113,0.007591135432763113
primary energy,0.00756405241786358,0.00756405241786358
trucks,0.0075280604498447635,0.0075280604498447635
renewable energy in china,0.007449493533657901,0.007449493533657901
tidal power,0.007397194931496217,0.007397194931496217
nuclear fusion,0.007397194931496214,0.007397194931496214
solar power plant,0.007386090172665218,0.007386090172665218
energy management,-0.007340457456469248,0.007340457456469248
investments in electricity generation,0.007286107313632391,0.007286107313632391
molten salt,0.007229673723931679,0.007229673723931679
tractors,-0.007197611452260977,0.007197611452260977
national renewable energy action plan,0.007162618491378949,0.007162618491378949
grid integration,0.007074113016892768,0.007074113016892768
